SESSION MODE gear=0 mode=NORMAL_PHOTO vout=0 fpsTarget=30
CAMRUN BEGIN ts=1789977262506 gear=0 analyze=640x480 show=960x960 rotation=90 settleMs=45000 warmupFrames=10 window=30 detModel=models/y5fu_320x_head_fp32.ms recModel=models/rpv3_mdict_160_r3.ms analyzeTargetW=640 fpsTarget=30
STREAM START show=960x960 analyze=640x480 rot=90 mode=NORMAL_PHOTO vout=0 fpsTarget=30
STAGE n=420 conv=3.5469 infer=16.9469 count=0 wh=480x640 rgbaSum=96061591 stages=-
STAGE n=450 conv=3.1670 infer=12.1755 count=0 wh=480x640 rgbaSum=95844944 stages=-
STAGE n=480 conv=4.4695 infer=11.6141 count=0 wh=480x640 rgbaSum=95552571 stages=-
STAGE n=510 conv=3.4602 infer=10.4456 count=0 wh=480x640 rgbaSum=95717033 stages=-
STAGE n=540 conv=2.9172 infer=9.9809 count=0 wh=480x640 rgbaSum=95758900 stages=-
STAGE n=570 conv=4.7039 infer=11.5678 count=0 wh=480x640 rgbaSum=95738358 stages=-
STAGE n=600 conv=4.6127 infer=10.5898 count=0 wh=480x640 rgbaSum=95674854 stages=-
STAGE n=630 conv=2.9094 infer=10.6166 count=0 wh=480x640 rgbaSum=95849510 stages=-
STAGE n=660 conv=4.3352 infer=10.0256 count=0 wh=480x640 rgbaSum=95543288 stages=-
STAGE n=690 conv=5.2194 infer=12.5966 count=0 wh=480x640 rgbaSum=95790427 stages=-
STAGE n=720 conv=2.5334 infer=9.5612 count=0 wh=480x640 rgbaSum=95635096 stages=-
STAGE n=750 conv=4.2300 infer=10.1397 count=0 wh=480x640 rgbaSum=96355250 stages=-
STAGE n=780 conv=2.5633 infer=12.9380 count=0 wh=480x640 rgbaSum=96394370 stages=-
STAGE n=810 conv=2.8775 infer=11.5638 count=0 wh=480x640 rgbaSum=96208974 stages=-
STAGE n=840 conv=2.8766 infer=12.1187 count=0 wh=480x640 rgbaSum=96190053 stages=-
STAGE n=870 conv=3.3981 infer=16.5141 count=1 wh=480x640 rgbaSum=95866018 stages=9.7520|1.8494|6.9547|0.0242|0.0964|6.4812|0.0270|0.3155|6.6392
STAGE n=900 conv=4.1594 infer=10.1263 count=0 wh=480x640 rgbaSum=96271470 stages=-
STAGE n=930 conv=4.7591 infer=13.6711 count=0 wh=480x640 rgbaSum=96222846 stages=-
STAGE n=960 conv=3.3825 infer=10.8580 count=0 wh=480x640 rgbaSum=96419747 stages=-
STAGE n=990 conv=4.4937 infer=19.0453 count=0 wh=480x640 rgbaSum=96317389 stages=-
STAGE n=1020 conv=2.6794 infer=14.9820 count=0 wh=480x640 rgbaSum=96288217 stages=-
STAGE n=1050 conv=2.8789 infer=9.9480 count=0 wh=480x640 rgbaSum=96338619 stages=-
STAGE n=1080 conv=3.4894 infer=10.3294 count=0 wh=480x640 rgbaSum=96273253 stages=-
STAGE n=1110 conv=4.8209 infer=12.8091 count=0 wh=480x640 rgbaSum=96131166 stages=-
STAGE n=1140 conv=3.6984 infer=10.8845 count=0 wh=480x640 rgbaSum=96564093 stages=-
STAGE n=1170 conv=4.1981 infer=11.4180 count=0 wh=480x640 rgbaSum=96579373 stages=-
STAGE n=1200 conv=2.8083 infer=10.1761 count=0 wh=480x640 rgbaSum=96407381 stages=-
STAGE n=1230 conv=5.3797 infer=10.0191 count=0 wh=480x640 rgbaSum=96507415 stages=-
STAGE n=1260 conv=5.3767 infer=11.0906 count=0 wh=480x640 rgbaSum=96507991 stages=-
STAGE n=1290 conv=3.4347 infer=11.1480 count=0 wh=480x640 rgbaSum=96406136 stages=-
STAGE n=1320 conv=5.5662 infer=12.8897 count=0 wh=480x640 rgbaSum=96405828 stages=-
STAGE n=1350 conv=3.2948 infer=10.1859 count=0 wh=480x640 rgbaSum=96416829 stages=-
STAGE n=1380 conv=4.0453 infer=10.4605 count=0 wh=480x640 rgbaSum=96282821 stages=-
STAGE n=1410 conv=3.6547 infer=10.3880 count=0 wh=480x640 rgbaSum=96317885 stages=-
STAGE n=1440 conv=4.0864 infer=10.0920 count=0 wh=480x640 rgbaSum=96262445 stages=-
STAGE n=1470 conv=4.1359 infer=11.0886 count=0 wh=480x640 rgbaSum=96416704 stages=-
STAGE n=1500 conv=5.2841 infer=11.6678 count=0 wh=480x640 rgbaSum=96322118 stages=-
STAGE n=1530 conv=2.9844 infer=9.9211 count=0 wh=480x640 rgbaSum=96460297 stages=-
STAGE n=1560 conv=3.4483 infer=17.3105 count=0 wh=480x640 rgbaSum=96492638 stages=-
STAGE n=1590 conv=2.6009 infer=11.4708 count=0 wh=480x640 rgbaSum=96487139 stages=-
STAGE n=1620 conv=4.1102 infer=11.0145 count=0 wh=480x640 rgbaSum=96459712 stages=-
STAGE n=1650 conv=3.5681 infer=10.0423 count=0 wh=480x640 rgbaSum=96397412 stages=-
STAGE n=1680 conv=2.8353 infer=11.1938 count=0 wh=480x640 rgbaSum=96552564 stages=-
STAGE n=1710 conv=3.2108 infer=17.4198 count=0 wh=480x640 rgbaSum=96375470 stages=-
STAGE n=1740 conv=2.9292 infer=10.4211 count=0 wh=480x640 rgbaSum=95813133 stages=-
STAGE n=1770 conv=4.4416 infer=11.0800 count=0 wh=480x640 rgbaSum=95427188 stages=-
STAGE n=1800 conv=5.9348 infer=12.6236 count=0 wh=480x640 rgbaSum=96288933 stages=-
STAGE n=1830 conv=4.2305 infer=10.1306 count=0 wh=480x640 rgbaSum=94001604 stages=-
STAGE n=1860 conv=5.3166 infer=11.3508 count=0 wh=480x640 rgbaSum=94987383 stages=-
STAGE n=1890 conv=3.7270 infer=11.1095 count=0 wh=480x640 rgbaSum=94470620 stages=-
STAGE n=1920 conv=4.0897 infer=11.0380 count=0 wh=480x640 rgbaSum=94071394 stages=-
STAGE n=1950 conv=3.3995 infer=17.3591 count=0 wh=480x640 rgbaSum=94159341 stages=-
STAGE n=1980 conv=2.8592 infer=9.8959 count=0 wh=480x640 rgbaSum=95072221 stages=-
STAGE n=2010 conv=3.0150 infer=10.1455 count=0 wh=480x640 rgbaSum=95079176 stages=-
STAGE n=2040 conv=2.7934 infer=10.2617 count=0 wh=480x640 rgbaSum=94907852 stages=-
STAGE n=2070 conv=3.7444 infer=12.4606 count=0 wh=480x640 rgbaSum=94800242 stages=-
SETTLE done after 45 s gear=8
STAGE n=0 conv=3.4577 infer=11.2264 count=0 wh=480x640 rgbaSum=94855235 stages=-
STAGE n=30 conv=2.9234 infer=20.1102 count=0 wh=480x640 rgbaSum=95074284 stages=-
STAGE n=60 conv=3.8291 infer=12.9077 count=0 wh=480x640 rgbaSum=96700908 stages=-
STAGE n=90 conv=4.7534 infer=15.6427 count=0 wh=480x640 rgbaSum=97547185 stages=-
RATE win=1 arrive=48.31 done=47.81 dropped_in_win=0 cum_arrived=97 cum_done=96 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=18.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=40.0
STAGE n=120 conv=5.6003 infer=11.3631 count=0 wh=480x640 rgbaSum=97603568 stages=-
STAGE n=150 conv=3.4973 infer=12.7086 count=0 wh=480x640 rgbaSum=97495110 stages=-
STAGE n=180 conv=3.1289 infer=10.7291 count=0 wh=480x640 rgbaSum=97419483 stages=-
RATE win=2 arrive=47.31 done=47.31 dropped_in_win=0 cum_arrived=192 cum_done=191 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=17.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=40.0
STAGE n=210 conv=4.7198 infer=20.9655 count=0 wh=480x640 rgbaSum=96975326 stages=-
STAGE n=240 conv=3.9044 infer=10.7153 count=0 wh=480x640 rgbaSum=97415277 stages=-
STAGE n=270 conv=4.0630 infer=10.7616 count=0 wh=480x640 rgbaSum=97685195 stages=-
RATE win=3 arrive=43.61 done=43.61 dropped_in_win=0 cum_arrived=280 cum_done=279 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=17.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=40.0
STAGE n=300 conv=2.9827 infer=10.4308 count=0 wh=480x640 rgbaSum=96952659 stages=-
STAGE n=330 conv=4.1348 infer=9.6892 count=0 wh=480x640 rgbaSum=97380382 stages=-
STAGE n=360 conv=3.7716 infer=10.9459 count=0 wh=480x640 rgbaSum=97332934 stages=-
RATE win=4 arrive=45.61 done=45.61 dropped_in_win=0 cum_arrived=372 cum_done=371 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=16.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=40.0
STAGE n=390 conv=4.9083 infer=11.8436 count=0 wh=480x640 rgbaSum=97388932 stages=-
STAGE n=420 conv=3.3286 infer=11.5169 count=0 wh=480x640 rgbaSum=97134916 stages=-
STAGE n=450 conv=4.1372 infer=11.0347 count=0 wh=480x640 rgbaSum=97467172 stages=-
RATE win=5 arrive=44.96 done=44.96 dropped_in_win=0 cum_arrived=462 cum_done=461 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=17.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=40.0
STAGE n=480 conv=3.4983 infer=12.7186 count=0 wh=480x640 rgbaSum=97567367 stages=-
STAGE n=510 conv=3.2422 infer=14.0223 count=0 wh=480x640 rgbaSum=97638155 stages=-
STAGE n=540 conv=4.7280 infer=12.4252 count=0 wh=480x640 rgbaSum=97525210 stages=-
RATE win=6 arrive=45.09 done=45.59 dropped_in_win=0 cum_arrived=553 cum_done=553 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=17.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=40.0
STAGE n=570 conv=2.9939 infer=10.3602 count=0 wh=480x640 rgbaSum=97328771 stages=-
STAGE n=600 conv=3.0056 infer=10.5253 count=0 wh=480x640 rgbaSum=97491127 stages=-
STAGE n=630 conv=3.4620 infer=10.9867 count=0 wh=480x640 rgbaSum=97792306 stages=-
RATE win=7 arrive=47.69 done=47.19 dropped_in_win=0 cum_arrived=649 cum_done=648 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=17.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=40.0
STAGE n=660 conv=3.7958 infer=11.2791 count=0 wh=480x640 rgbaSum=98067804 stages=-
STAGE n=690 conv=3.2366 infer=10.9052 count=0 wh=480x640 rgbaSum=98005737 stages=-
STAGE n=720 conv=3.6064 infer=10.6206 count=0 wh=480x640 rgbaSum=98075396 stages=-
RATE win=8 arrive=45.93 done=45.93 dropped_in_win=0 cum_arrived=741 cum_done=740 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=16.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=40.0
STAGE n=750 conv=4.2838 infer=11.4937 count=0 wh=480x640 rgbaSum=97985936 stages=-
STAGE n=780 conv=5.3138 infer=11.7181 count=0 wh=480x640 rgbaSum=97725782 stages=-
STAGE n=810 conv=3.6594 infer=13.4741 count=0 wh=480x640 rgbaSum=97563256 stages=-
RATE win=9 arrive=44.80 done=44.80 dropped_in_win=0 cum_arrived=831 cum_done=830 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=17.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=40.0
STAGE n=840 conv=4.9839 infer=13.5442 count=0 wh=480x640 rgbaSum=99453691 stages=-
STAGE n=870 conv=4.7252 infer=13.2284 count=0 wh=480x640 rgbaSum=101028839 stages=-
STAGE n=900 conv=4.4647 infer=10.3844 count=0 wh=480x640 rgbaSum=100602109 stages=-
RATE win=10 arrive=44.37 done=44.87 dropped_in_win=0 cum_arrived=920 cum_done=920 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=18.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=40.0
STAGE n=930 conv=4.0161 infer=11.6561 count=0 wh=480x640 rgbaSum=100754883 stages=-
STAGE n=960 conv=4.9455 infer=12.3725 count=0 wh=480x640 rgbaSum=100873239 stages=-
STAGE n=990 conv=3.4017 infer=11.2645 count=0 wh=480x640 rgbaSum=100797510 stages=-
